freq,Real,Imag
900019.313,225.66507,-184.01207
608300.625,288.26166,-102.57711
411152.219,298.41663,-74.88448
277890.563,305.68485,-59.81763
187822.203,311.03891,-52.29433
126953.102,315.98669,-49.37141
85800.7578,321.28851,-51.77867
57998.0313,327.83533,-59.75344
39199.2109,334.6156,-71.21006
26494.1328,345.41492,-90.5656
17910.1484,359.20364,-117.49142
12099.6055,378.85938,-153.77293
8273.48242,407.43073,-201.30174
5527.09912,452.80527,-264.80295
3736.19482,519.396,-338.30286
2525.80737,616.26685,-417.44412
1707.73242,750.80536,-493.47903
1153.89185,909.55896,-545.75238
780.24969,1096.24341,-566.06427
527.19299,1285.19653,-536.28845
356.48288,1422.19543,-480.39218
240.69319,1564.26282,-397.92529
162.76035,1635.82397,-325.87134
110.03518,1701.23022,-275.95105
74.35754,1754.11169,-186.55376
50.27348,1783.45581,-174.26097
34.00963,1810.87732,-138.7525
22.97793,1832.85474,-118.22807
15.52152,1847.54297,-110.57404
10.48658,1866.21448,-110.01804
7.08939,1889.97986,-111.55436
4.78707,1911.88171,-114.82634
3.23901,1939.19958,-127.38568
2.1896,1970.73047,-136.04507
1.47964,2007.10632,-150.9406
1.00006,2043.91235,-166.71689
